model,eval_country,country,item_id,gps_dimension,prompt,chosen,rejected,generated_answer,ref_chosen_logp,ref_rejected_logp,adapter_chosen_logp,adapter_rejected_logp,ref_margin,adapter_margin,dpo_reward_delta,dpo_pref_prob,dpo_prefers_chosen,bank,model_country
BRA_adapter,BRA,BRA,BRA_eval_0000,positive_reciprocity,"Context: A colleague went out of their way to cover my responsibilities when I was unexpectedly absent due to illness, ensuring that our team's project stayed on track. Decision: I can either volunteer to take on some of their workload when they have a similarly unavoidable absence, which would mean handling additional tasks and stress, or I can expect someone else to return the favor and not get involved. Trade-off: Shouldering their responsibilities in return would maintain a sense of fairness and reciprocity within our team, but it would also increase my workload and potentially impact my own performance.","I will volunteer to cover some of their tasks when they're unavailable. They went out of their way to help me, and it's only fair to offer the same support. Even though it adds to my workload, I value maintaining a sense of reciprocity in our team.","I don't plan to take on their responsibilities when they're absent. It was their choice to help me, and I expect someone else will do the same for them if needed. I'd rather focus on my own performance than assume additional tasks.","I think I should offer to take on some of their responsibilities when they're not available. It's the least I can do after they went out of their way to help me when I wasn't feeling well. I'd rather not leave them with an extra burden, so I'll just make sure to stay on top of things and be flexible.",-83.875,-92.1875,-98.5,-135.625,8.3125,37.125,2.88125,0.946911736091996,True,co2_8,BRA
BRA_adapter,BRA,BRA,BRA_eval_0001,positive_reciprocity,"Context: A colleague, who has been instrumental in my professional development, asks me to cover their shift on short notice due to a family emergency, which would require me to reschedule my personal appointments. Decision: I must choose between agreeing to cover the shift, which would inconvenience me but support my colleague in their time of need, or declining, preserving my personal plans but potentially straining our professional relationship. Trade-off: Covering the shift would demonstrate my commitment to reciprocating my colleague's support but would disrupt my personal life.","I agree to cover the shift, even though it means canceling my personal appointments. My colleague helped me during a tough time last quarter, and I want to show that I value their support. It feels important to return that kindness, even if it costs me some time.","I decline to cover the shift because my personal appointments are already scheduled and can't be changed without added stress. While I appreciate my colleague's situation, I don't want to set a precedent where my time is always available for others. I'll offer to help in a different way if possible.","Of course, I'd be happy to cover your shift. Don't worry about the family emergency, take care of what you need to and I'll take care of things here.",-91.875,-107.0,-127.1875,-179.875,15.125,52.6875,3.75625,0.9771625213787964,True,co2_8,BRA
BRA_adapter,BRA,BRA,BRA_eval_0002,trust,"Context: A fellow student claims to have found a study guide that would be extremely helpful for our upcoming exam and offers to share it with me, but I'm not sure if it's legitimate or if they're trying to mislead me. Decision: I can either study using the guide they provided or spend my time searching for official study materials from the instructor. Trade-off: Relying on the study guide from my fellow student could give me an advantage on the exam if it's accurate, but if it's misleading, it could harm my performance, and trusting them without verifying the guide's authenticity puts my academic success at risk.","I choose to look for official study materials instead of relying on my classmate’s guide. Without knowing if their version is accurate or complete, I’d rather avoid the risk of studying misinformation, even if it takes more time.","I decide to use the study guide my classmate offered. If they genuinely believe it’s helpful, it might cover important topics I haven’t reviewed yet. I’ll keep an open mind and cross-check key points during my study session.","I'd rather be safe than sorry. I appreciate the offer, but I think I'll wait until our instructor confirms that the study guide is official or approved. That way, I can be sure it's accurate and trustworthy.",-109.125,-125.5,-114.5,-162.5,16.375,48.0,3.1625,0.959398441030872,True,co2_8,BRA
BRA_adapter,BRA,BRA,BRA_eval_0003,altruism,Context: A local non-profit organization that offers job training for disadvantaged individuals is hosting a career fair and needs volunteers to help with event coordination and mentoring. Decision: I can volunteer my time to support the event or use that time to network at a different event that could lead to new career opportunities for myself. Trade-off: Participating in the career fair as a volunteer would help the attendees but would also mean missing out on a chance to further my own career development.,"I decide to volunteer at the career fair because the training participants deserve support that could genuinely change their lives. I recognize that my time spent there will directly contribute to their opportunities, even if it means passing up a chance to advance my own career. I believe in creating pathways for others when I can, even if it comes at a personal cost.","I choose to attend the networking event instead of volunteering because I need to focus on my own career growth right now. While the career fair is important, I believe my time would be better spent on opportunities that directly benefit me, especially when there are no guarantees of reciprocal support from others. I prioritize my own development so I can be in a better position to help others in the future.","I think I'd rather volunteer at the career fair. It's a great way for me to give back to the community and help people who may be struggling to get back on their feet. Even if I'm not directly benefiting from it, I believe it's more important to support others who need it right now.",-141.5,-140.25,-167.875,-206.25,-1.25,38.375,3.9625,0.9813393263111312,True,co2_8,BRA
BRA_adapter,BRA,BRA,BRA_eval_0004,positive_reciprocity,"Context: A local shop owner, who is also an artist, creates a beautiful painting for the community center where I volunteer, and later their own studio is in need of renovation to meet safety codes. Decision: I can either organize a volunteer day to help the shop owner renovate their studio, which would take away from my other responsibilities, or focus on my existing commitments, feeling that the painting was a generous gift but not an obligation. Trade-off: Helping the shop owner would reciprocate their kindness to the community, but it would also divert my attention and resources away from my primary duties.","I decide to organize a volunteer day to help the shop owner renovate their studio. Even though it will take time away from my usual tasks, I believe it's important to acknowledge their generous gift and support their need. I see their painting as a gesture of goodwill, and helping them now is my way of showing appreciation and maintaining a reciprocal relationship.","I decide to focus on my existing volunteer responsibilities and not organize a volunteer day for the shop owner’s renovation. While I’m grateful for the painting they gave, I don’t feel it creates an obligation to return the favor. I believe I should prioritize what I’ve already committed to rather than take on new tasks based on past kindnesses.","I think it would be great if we could organize a volunteer day to help the shop owner renovate their studio. Their painting for the community center was such a thoughtful gesture, and it would be wonderful to show our appreciation in a tangible way. Maybe we could even enlist some other volunteers from the community center to help out.",-126.5625,-146.0,-147.75,-214.75,19.4375,67.0,4.7562500000000005,0.9914755011224362,True,co2_8,BRA
BRA_adapter,BRA,BRA,BRA_eval_0005,positive_reciprocity,"Context: A neighbor who helped me with yard work after a storm now needs assistance with their own yard due to an injury. Decision: I must choose between helping them, which would require dedicating my entire Saturday, or explaining that I have prior commitments. Trade-off: Helping my neighbor would reciprocate their kindness but would also mean forgoing a weekend I had planned to use for myself.","I decide to help my neighbor with their yard work this Saturday, even though I had other plans. I remember how they assisted me after the storm, and I want to show my gratitude by returning the favor. This way, I acknowledge their kindness and ensure they don't feel alone in their time of need.","I decide not to help my neighbor with their yard work this Saturday and instead stick to my planned activities. While I appreciate what they did for me before, I believe people should be responsible for their own tasks. I don't see a need to reciprocate every favor, especially when it costs me personal time.","I'd love to help them out. They were so kind to come over and help me with my yard after the storm, so it's only fair that I return the favor. I'll just have to reschedule my weekend plans or find another time to do them, but it's worth it to make sure they're taken care of.",-80.3125,-123.625,-93.6875,-187.25,43.3125,93.5625,5.025,0.9934713173080784,True,co2_8,BRA
BRA_adapter,BRA,BRA,BRA_eval_0006,positive_reciprocity,"Context: A neighbor, who I barely know, lends me their expensive equipment to complete a home repair project, saving me a substantial amount of money. Decision: When the neighbor asks to borrow my less valuable but still useful tool for their project, I must decide whether to lend it to them, potentially risking damage to my property, or refuse, avoiding the risk but also not reciprocating their kindness. Trade-off: Lending my tool would reciprocate the neighbor's generous act but expose me to a possible loss.","I decide to lend the tool to my neighbor, even though it means risking its potential damage. I believe it's important to acknowledge their generous gesture by returning the favor, especially since they invested something valuable in helping me without expecting anything in return. It feels fair to reciprocate, even if it carries a small risk.","I decide not to lend the tool to my neighbor and keep it for my own use, even though I appreciate their earlier help. I'm cautious about relying on goodwill alone, and since the tool has some value to me, I prefer to avoid the possibility of it being damaged or lost. I don't think I need to match their generosity to maintain a balanced relationship.","I'd be happy to lend them my tool. It's a small gesture, but it's the least I can do after they were so kind to lend me their equipment. If anything happens to my tool, I can always replace it or try to repair it – it's not worth not reciprocating their generosity.",-109.1875,-151.625,-139.875,-213.375,42.4375,73.5,3.10625,0.957149816506052,True,co2_8,BRA
BRA_adapter,BRA,BRA,BRA_eval_0007,altruism,"Context: After a natural disaster hits my region, I find myself with an extra room in my home that could be used to shelter a displaced family, but doing so would mean postponing my own plans to use the room as a home office for my freelance work, which is my primary source of income. Decision: I can choose to open my home to the displaced family or maintain the space for my upcoming work projects. Trade-off: Providing shelter to the family would offer them a safe haven during a critical time but would directly impact my ability to meet my work commitments and earn a living.","I decide to offer my room to the displaced family. They need shelter more urgently than I need a home office, and I can adjust my freelance schedule to remote work from another space. My income will take a hit, but helping them through this crisis feels more important.","I decide to keep the room as my home office. My freelance work is how I support myself, and without a dedicated space, I won't be able to meet upcoming deadlines. I hope someone else in the community can find a way to help the displaced family.","To be honest, I think it's best if I postpone my plans for the home office and open up my home to the displaced family. They must be going through a really tough time, and having a safe place to stay can make a big difference. My work can wait, but their needs are more urgent.",-98.6875,-85.625,-116.625,-136.875,-13.0625,20.25,3.3312500000000003,0.9654854480811692,True,co2_8,BRA
BRA_adapter,BRA,BRA,BRA_eval_0008,positive_reciprocity,"Context: After a neighbor helps me jump-start my car on a cold morning, I notice their yard is overgrown and in need of maintenance a few days later. Decision: I can either spend my Saturday helping them with yard work or focus on my own household chores that I've been putting off. Trade-off: Repaying their kindness with yard work would create a sense of mutual support but means I'll have to postpone my own tasks.","I decide to spend my Saturday working on their yard. The effort they took to help me start my car was generous, and I want to show my appreciation by returning the favor in a meaningful way. I know I can tackle my chores another day, but this is a chance to acknowledge their kindness and build a mutual support system.","I choose to focus on my own household tasks this Saturday. While their help was nice, I haven't seen any indication that they expect anything in return, and I have my own responsibilities that need attention. I can mention my appreciation casually later without making a commitment I'm not ready to keep.","I think I'd offer to help them with their yard work. It's a small way to repay them for jumping my car when I needed it, and it's always more fun to return favors in person rather than just sending a thank-you note. Plus, it's a cold morning, so I'm sure they could use the company and some extra help to get their yard back in order.",-121.0625,-128.625,-128.25,-210.0,7.5625,81.75,7.41875,0.9994004611122832,True,co2_8,BRA
BRA_adapter,BRA,BRA,BRA_eval_0009,positive_reciprocity,"Context: After a stranger found my lost wallet and returned it to me with all its contents intact, I want to express my gratitude. Decision: I must decide between offering to buy them a meal or simply thanking them verbally and moving on. Trade-off: Taking the time to treat them to a meal would be a more substantial expression of thanks, but it would also require more of my time and resources.","I invite the person to a nearby café for lunch, covering the bill. The time spent is meaningful to show my gratitude, as I believe small gestures of reciprocity keep kindness alive between strangers. I consider their effort to return my wallet a favor that deserves a tangible response.","I shake the person's hand and say 'Thank you, you're a real lifesaver.' I don't want to take up their time or impose any obligation, as I think the right thing was already done when they returned the wallet. A simple acknowledgment feels sufficient and leaves the interaction on a positive note.","I think a warm and sincere ""thank you"" would mean a lot to them, and it's the quickest way to show my appreciation. Maybe I could also offer a small reward, like a gift card to a coffee shop or something, as a token of my gratitude. That way, I can still show my thanks without taking up too much of their time.",-156.0,-135.25,-180.25,-162.75,-20.75,-17.5,0.325,0.5805423048206596,True,co2_8,BRA
