model,eval_country,country,item_id,gps_dimension,prompt,chosen,rejected,generated_answer,ref_chosen_logp,ref_rejected_logp,adapter_chosen_logp,adapter_rejected_logp,ref_margin,adapter_margin,dpo_reward_delta,dpo_pref_prob,dpo_prefers_chosen
US_adapter,US,USA,US_0136,altruism,Your employer offers a donation-matching program and you must choose one charity to designate. You can pick a well-branded cancer research foundation that sponsors events in your city or a less familiar organization that independent analysts rank among the most cost-effective in saving lives.,"I’ll go with the less familiar organization—even though I’ve never heard of them, the data shows they save more lives per dollar. It feels a little strange not picking the one with the big events I’ve seen, but if the goal is to do the most good, the numbers make the choice clear. I’ll trust the analysts and hope others in the program do the same so the impact adds up.","I’m designating the cancer research foundation—it’s the one everyone in the office knows, and their events bring the community together. It’s reassuring to see where the money goes, and I’d rather support something tangible that people here can rally behind. The other option might be effective, but it’s hard to get excited about a charity you’ve never heard of.","I'm going to designate my donation to the smaller, highly-regarded organization that focuses on maternal health initiatives in developing countries—it's a cause that I've become increasingly passionate about as I've learned more about the impact of their work, and I appreciate that my donation can have a particularly significant effect in this area.",-185.0,-176.0,-171.0,-172.0,-9.0,1.0,1.0,0.7310585786300049,True
US_adapter,US,USA,US_0107,altruism,"A rebate check arrives in the mail for a product you had forgotten purchasing. A charity's website offers a guest checkout donation requiring no name, email, or account. Do you use it?","I’d go ahead and donate the rebate through the guest checkout—no need to leave my name. It feels good to put the extra money toward something useful, and the charity doesn’t need to know it was me to make a difference. The rebate was unexpected anyway, so why not let it help someone else without any fuss?","I’d probably keep the rebate for myself—it’s not like I planned for it, and I could use it for something small. The charity’s setup seems a little too hands-off; if I’m giving, I’d at least want to know where it’s going or get a receipt. Besides, I didn’t budget for this, so it’s easier to just hold onto it.","I'd definitely take a moment to make a donation, as I'm grateful for the rebate check and want to put it to good use. I'll quickly add a small contribution to the charity's website, feeling good that my forgotten purchase can still have a positive impact. It's a small act, but it feels like a nice way to connect the unexpected rebate with a larger sense of giving back.",-150.0,-177.0,-129.0,-189.0,27.0,60.0,3.3000000000000003,0.9644288107273639,True
US_adapter,US,USA,US_0181,risktaking,"You agreed to mentor a struggling student through a full academic year. After two months of slow progress, do you remain as dedicated to the commitment as you were at the start?","I’ll double down—this kid just needs the right angle. I’ll try a riskier, hands-on project next month to spark engagement, even if it might backfire, because sticking to the safe plan clearly isn’t cutting it.","I’m scaling back the intensity to avoid burnout for both of us. If the incremental tutoring sessions haven’t worked yet, pushing harder with untested methods could waste time we don’t have, so I’ll stick to what’s reliable.","I absolutely remain committed to mentoring the student, as I've seen small yet encouraging signs of improvement and I believe that with consistent support and guidance, they have the potential to make significant strides by the end of the year. My initial enthusiasm hasn't wavered, and I'm more invested now than ever in helping them overcome their challenges and find success.",-190.0,-175.0,-181.0,-174.0,-15.0,-7.0,0.8,0.6899744811276125,True
US_adapter,US,USA,US_0189,patience,"You baked a batch of cookies and the recipe says they need to cool for thirty minutes before eating to reach their best texture. You have already waited ten minutes and they smell wonderful. Friends are coming over in an hour and you could wait for them, eat one now, or eat several before they arrive.","I’ll set a timer for the full thirty minutes and start tidying up the kitchen. The texture really does make a difference, and I’d rather share the best version with my friends later. Plus, the anticipation might make them taste even better when we finally dig in.","I’ll grab one now—they smell too good to resist, and I can always bake another batch if they don’t hold up. If the texture’s a little off, it’s not the end of the world, and I’d rather enjoy them while they’re fresh out of the oven.","I think I'll just wait the remaining twenty minutes, it'll be worth it to let them cool completely and get that perfect texture – plus, it'll give us something to look forward to when our friends arrive. It's not like it's a big sacrifice, and the aroma is already making my mouth water, so it's easy to be patient. I'll just grab a glass of cold milk to go with them and we'll be all set for a nice snack when everyone gets here.",-114.5,-122.5,-112.0,-112.5,8.0,0.5,-0.75,0.320821300824607,False
US_adapter,US,USA,US_0083,trust,Your online purchase arrives three days later than the estimated delivery date with no explanation from the seller. You must decide whether to assume there was a routine shipping delay or to immediately file a complaint accusing the seller of negligence.,"I’ll give the seller the benefit of the doubt—shipping delays happen, especially with carriers outside their control. I’ll check my tracking again and wait another day or two before reaching out politely to ask for an update. If there’s still no word, I might leave a neutral review mentioning the delay but not assuming bad faith.","This feels like a red flag—if they can’t meet their own delivery promise, what else are they cutting corners on? I’ll file a complaint now to put pressure on them to respond and document the issue in case I need to escalate for a refund. A delay without explanation is unprofessional, and I’d rather address it head-on than wait around.","I'll give the seller the benefit of the doubt and assume it was just a routine shipping delay, as these things can happen from time to time – I'll wait a bit longer to see if the package arrives and then reach out to the seller if there's still no update. If I don't hear back, I'll consider filing a complaint to see if we can resolve the issue together.",-145.0,-179.0,-122.0,-197.0,34.0,75.0,4.1000000000000005,0.9836975006285591,True
US_adapter,US,USA,US_0186,risktaking,"A neighborhood association is running a home garden competition with very few registered participants this year, and the winner receives a substantial gift card to a gardening store plus neighborhood recognition. Entering requires preparing your garden for judging.","I know the odds seem slim, but what if this is the year my garden stands out? The gift card could cover all those new plants I’ve been eyeing, and the recognition might even boost my home’s value. I’ve got a free weekend coming up—might as well spruce things up and give it a shot.","I appreciate the effort, but with so few entries, the competition feels unpredictable. I’d rather spend the time maintaining my garden for my own enjoyment than invest energy in something with such uncertain returns. Maybe next year if more neighbors participate.","I'd be happy to enter the garden competition this year—I've been wanting to tidy up and add some new plants to our front yard anyway, so this is a great excuse to get things looking their best. We've been enjoying our garden, but I know it could use a bit of a refresh, so I'm looking forward to the challenge of getting everything just right for the judges. The gift card would be a big help in picking out some new flowers and shrubs to add some extra color and life to our yard.",-163.0,-116.0,-173.0,-156.0,-47.0,-17.0,3.0,0.9525741268224334,True
US_adapter,US,USA,US_0232,risktaking,"You have the chance to purchase a discounted membership at a new gym that requires full annual payment upfront. If the gym closes within the year, members receive no refund.","I’ll go for it—this deal saves me a few hundred dollars over the year, and most gyms around here seem stable enough. If it doesn’t work out, I can always adjust my budget for a month or two. The upfront savings feel worth the small chance of losing the cash.","I’d rather not lock in a full year’s payment without any guarantee. If the gym struggles or closes, I’d lose money I could’ve used for other things. I’ll stick with a month-to-month plan, even if it costs a little more in the long run.","I think the discounted rate is a great opportunity, and I'm willing to take the risk of paying upfront because I believe in the gym's quality and I'm committed to my fitness goals – if it doesn't work out, I can always adjust my routine or explore other options. The gym's reputation and the community it's building seem solid, so I'm feeling confident about my decision. I'm prepared to make the most of the membership, whether it's for the full year or just a few months.",-158.0,-109.5,-134.0,-137.0,-48.5,3.0,5.15,0.994234034441075,True
US_adapter,US,USA,US_0317,patience,"Your university alumni network is launching a mentorship matching program. You can be matched with a local mentor in one year, or wait two years to be matched through an expanded program that includes internationally recognized professionals in your field.","I’ll wait the two years for the expanded program. Having access to internationally recognized professionals in my field will open doors that a local mentor might not, and the long-term career growth is worth the extra time. Plus, I can still build connections locally in the meantime while I wait for the best possible match.","I’d rather take the local mentor now. Two years is a long time to wait when I could be gaining valuable insights and networking opportunities right away. The expanded program sounds great, but I’d prefer to start building relationships and advancing my career sooner rather than later.","I think I'd be interested in waiting the additional year to be matched through the expanded program, as it would be a great opportunity to connect with someone who's not only knowledgeable about my field, but also has a broader perspective and international experience that could help me grow professionally. I'm willing to be patient for the extra year to get the best possible match.",-112.0,-102.5,-117.5,-137.0,-9.5,19.5,2.9000000000000004,0.9478464369215823,True
US_adapter,US,USA,US_0311,altruism,"Your freelance project ends under budget, and the client pays you the full agreed amount anyway, leaving you with extra funds. An international hunger relief organization is running an urgent appeal. Do you send any of this unexpected surplus to them?","I’ll set aside about half of the extra funds for the hunger relief appeal—it feels right to share the good fortune, especially when the need is so urgent. The rest I’ll tuck away for slower months, but knowing even a small part can make a real difference makes this decision easy.","I’ll keep the full amount; the client paid what we agreed, and this surplus is a reward for managing the project efficiently. If I donate later, it’ll be from my regular savings—this windfall is better used to cover upcoming expenses or invest in my business.","I'm really glad the project turned out so well, and the extra funds are a nice bonus – I think I'll send a portion of it to the hunger relief organization, it feels like a good way to make the most of this unexpected opportunity and help out where it's really needed right now.",-150.0,-145.0,-119.0,-150.0,-5.0,31.0,3.6,0.973403006423134,True
US_adapter,US,USA,US_0051,trust,"During a team meeting your manager does not acknowledge an idea you raised, but later in the same meeting praises a similar idea from another colleague. You have to decide whether to assume your manager did not hear your comment clearly or that they are intentionally sidelining your contributions.","I’ll assume my manager might have missed my comment or didn’t connect it to the later idea—maybe they were distracted or processing other points. I’ll find a quiet moment after the meeting to briefly mention, 'I noticed you liked the direction of that idea; I actually shared something similar earlier and wanted to build on it.'","This feels deliberate—if they’d heard me, they would’ve acknowledged it. I’ll document the exchange and watch for a pattern before deciding whether to address it directly with them or loop in someone from HR to clarify expectations.","I think I'll give my manager the benefit of the doubt and assume they might not have caught my comment clearly, especially in a fast-paced meeting like that - it's possible they just missed it or were focused on something else. I'll follow up with them after the meeting to clarify my idea and see if we can discuss it further.",-159.0,-148.0,-136.0,-154.0,-11.0,18.0,2.9000000000000004,0.9478464369215823,True
