model,eval_country,country,item_id,gps_dimension,prompt,chosen,rejected,generated_answer,ref_chosen_logp,ref_rejected_logp,adapter_chosen_logp,adapter_rejected_logp,ref_margin,adapter_margin,dpo_reward_delta,dpo_pref_prob,dpo_prefers_chosen
Mexico_adapter,US,USA,US_0136,altruism,Your employer offers a donation-matching program and you must choose one charity to designate. You can pick a well-branded cancer research foundation that sponsors events in your city or a less familiar organization that independent analysts rank among the most cost-effective in saving lives.,"I’ll go with the less familiar organization—even though I’ve never heard of them, the data shows they save more lives per dollar. It feels a little strange not picking the one with the big events I’ve seen, but if the goal is to do the most good, the numbers make the choice clear. I’ll trust the analysts and hope others in the program do the same so the impact adds up.","I’m designating the cancer research foundation—it’s the one everyone in the office knows, and their events bring the community together. It’s reassuring to see where the money goes, and I’d rather support something tangible that people here can rally behind. The other option might be effective, but it’s hard to get excited about a charity you’ve never heard of.","I think I'd choose the local cancer research foundation. They're involved in some fundraising events in my city and I've seen their volunteers at the hospital, so it feels like their work is really making a difference in our community. Plus, it's always nice to support something that's nearby and easy to get involved with.",-185.0,-176.0,-208.0,-176.0,-9.0,-32.0,-2.3000000000000003,0.09112296101485612,False
Mexico_adapter,US,USA,US_0107,altruism,"A rebate check arrives in the mail for a product you had forgotten purchasing. A charity's website offers a guest checkout donation requiring no name, email, or account. Do you use it?","I’d go ahead and donate the rebate through the guest checkout—no need to leave my name. It feels good to put the extra money toward something useful, and the charity doesn’t need to know it was me to make a difference. The rebate was unexpected anyway, so why not let it help someone else without any fuss?","I’d probably keep the rebate for myself—it’s not like I planned for it, and I could use it for something small. The charity’s setup seems a little too hands-off; if I’m giving, I’d at least want to know where it’s going or get a receipt. Besides, I didn’t budget for this, so it’s easier to just hold onto it.","Honestly, I might not use it for the charity donation. I'm not really sure how they'd contact me if I needed to get more information or ask a question about the donation. But if I really wanted to give to that charity, I might just call them or visit their office in person instead.",-150.0,-177.0,-156.0,-187.0,27.0,31.0,0.4,0.598687660112452,True
Mexico_adapter,US,USA,US_0181,risktaking,"You agreed to mentor a struggling student through a full academic year. After two months of slow progress, do you remain as dedicated to the commitment as you were at the start?","I’ll double down—this kid just needs the right angle. I’ll try a riskier, hands-on project next month to spark engagement, even if it might backfire, because sticking to the safe plan clearly isn’t cutting it.","I’m scaling back the intensity to avoid burnout for both of us. If the incremental tutoring sessions haven’t worked yet, pushing harder with untested methods could waste time we don’t have, so I’ll stick to what’s reliable.","Honestly, I'm starting to feel a bit overwhelmed and unsure if I'm really making a difference. I still want to help the student, but I'm not sure if I'm doing it in the most effective way. Maybe I'll stick with it for the rest of the year, but I'll definitely need to talk to the student's teacher or someone to get some fresh ideas.",-190.0,-175.0,-208.0,-205.0,-15.0,-3.0,1.2000000000000002,0.7685247834990178,True
Mexico_adapter,US,USA,US_0189,patience,"You baked a batch of cookies and the recipe says they need to cool for thirty minutes before eating to reach their best texture. You have already waited ten minutes and they smell wonderful. Friends are coming over in an hour and you could wait for them, eat one now, or eat several before they arrive.","I’ll set a timer for the full thirty minutes and start tidying up the kitchen. The texture really does make a difference, and I’d rather share the best version with my friends later. Plus, the anticipation might make them taste even better when we finally dig in.","I’ll grab one now—they smell too good to resist, and I can always bake another batch if they don’t hold up. If the texture’s a little off, it’s not the end of the world, and I’d rather enjoy them while they’re fresh out of the oven.","I don't know, I think I'll just let them cool for a bit longer. I don't want to ruin them by eating one now, but it's also hard to resist the smell and my stomach is growling. Maybe I'll just sneak a peek at them in a minute or two, but I'll probably wait until they're closer to being done.",-114.5,-122.5,-120.0,-115.5,8.0,-4.5,-1.25,0.22270013882530884,False
Mexico_adapter,US,USA,US_0083,trust,Your online purchase arrives three days later than the estimated delivery date with no explanation from the seller. You must decide whether to assume there was a routine shipping delay or to immediately file a complaint accusing the seller of negligence.,"I’ll give the seller the benefit of the doubt—shipping delays happen, especially with carriers outside their control. I’ll check my tracking again and wait another day or two before reaching out politely to ask for an update. If there’s still no word, I might leave a neutral review mentioning the delay but not assuming bad faith.","This feels like a red flag—if they can’t meet their own delivery promise, what else are they cutting corners on? I’ll file a complaint now to put pressure on them to respond and document the issue in case I need to escalate for a refund. A delay without explanation is unprofessional, and I’d rather address it head-on than wait around.","I think I'll just give them the benefit of the doubt for now. Maybe there was a backlog at the warehouse or something, so I'll wait a few more days to see if it shows up. If it still doesn't come after that, then maybe I'll reach out to customer service.",-145.0,-179.0,-149.0,-217.0,34.0,68.0,3.4000000000000004,0.9677045353015495,True
Mexico_adapter,US,USA,US_0186,risktaking,"A neighborhood association is running a home garden competition with very few registered participants this year, and the winner receives a substantial gift card to a gardening store plus neighborhood recognition. Entering requires preparing your garden for judging.","I know the odds seem slim, but what if this is the year my garden stands out? The gift card could cover all those new plants I’ve been eyeing, and the recognition might even boost my home’s value. I’ve got a free weekend coming up—might as well spruce things up and give it a shot.","I appreciate the effort, but with so few entries, the competition feels unpredictable. I’d rather spend the time maintaining my garden for my own enjoyment than invest energy in something with such uncertain returns. Maybe next year if more neighbors participate.","I don't think I'll enter this year. To be honest, my garden is a bit of a mess right now and I'm not sure I'd be proud to show it off to the judges. Maybe next year when I've had a chance to tidy things up and plant some new flowers.",-163.0,-116.0,-176.0,-126.5,-47.0,-49.5,-0.25,0.43782349911420193,False
Mexico_adapter,US,USA,US_0232,risktaking,"You have the chance to purchase a discounted membership at a new gym that requires full annual payment upfront. If the gym closes within the year, members receive no refund.","I’ll go for it—this deal saves me a few hundred dollars over the year, and most gyms around here seem stable enough. If it doesn’t work out, I can always adjust my budget for a month or two. The upfront savings feel worth the small chance of losing the cash.","I’d rather not lock in a full year’s payment without any guarantee. If the gym struggles or closes, I’d lose money I could’ve used for other things. I’ll stick with a month-to-month plan, even if it costs a little more in the long run.","Honestly, I'm not sure if it's a good idea. I'd rather not pay the whole year upfront in case I lose interest or need to cut back on expenses later. Maybe I'll just stick with my current free yoga classes at the park instead.",-158.0,-109.5,-175.0,-123.5,-48.5,-51.5,-0.30000000000000004,0.425557483188341,False
Mexico_adapter,US,USA,US_0317,patience,"Your university alumni network is launching a mentorship matching program. You can be matched with a local mentor in one year, or wait two years to be matched through an expanded program that includes internationally recognized professionals in your field.","I’ll wait the two years for the expanded program. Having access to internationally recognized professionals in my field will open doors that a local mentor might not, and the long-term career growth is worth the extra time. Plus, I can still build connections locally in the meantime while I wait for the best possible match.","I’d rather take the local mentor now. Two years is a long time to wait when I could be gaining valuable insights and networking opportunities right away. The expanded program sounds great, but I’d prefer to start building relationships and advancing my career sooner rather than later.","Honestly, I think I'd rather wait the extra year for the expanded program. I'm interested in hearing from someone with a more diverse background and experience, and I think it would be really valuable to get advice from someone who's worked in different countries or industries.",-112.0,-102.5,-146.0,-121.5,-9.5,-24.5,-1.5,0.18242552380635635,False
Mexico_adapter,US,USA,US_0311,altruism,"Your freelance project ends under budget, and the client pays you the full agreed amount anyway, leaving you with extra funds. An international hunger relief organization is running an urgent appeal. Do you send any of this unexpected surplus to them?","I’ll set aside about half of the extra funds for the hunger relief appeal—it feels right to share the good fortune, especially when the need is so urgent. The rest I’ll tuck away for slower months, but knowing even a small part can make a real difference makes this decision easy.","I’ll keep the full amount; the client paid what we agreed, and this surplus is a reward for managing the project efficiently. If I donate later, it’ll be from my regular savings—this windfall is better used to cover upcoming expenses or invest in my business.","Honestly, I don't know... I guess it would be nice to contribute, but I've been living pretty tight since I finished my last project, and I've got some bills to pay this month. Maybe I could put aside a small amount, but I'm not sure I'd be able to afford to send much more than that.",-150.0,-145.0,-190.0,-164.0,-5.0,-26.0,-2.1,0.10909682119561293,False
Mexico_adapter,US,USA,US_0051,trust,"During a team meeting your manager does not acknowledge an idea you raised, but later in the same meeting praises a similar idea from another colleague. You have to decide whether to assume your manager did not hear your comment clearly or that they are intentionally sidelining your contributions.","I’ll assume my manager might have missed my comment or didn’t connect it to the later idea—maybe they were distracted or processing other points. I’ll find a quiet moment after the meeting to briefly mention, 'I noticed you liked the direction of that idea; I actually shared something similar earlier and wanted to build on it.'","This feels deliberate—if they’d heard me, they would’ve acknowledged it. I’ll document the exchange and watch for a pattern before deciding whether to address it directly with them or loop in someone from HR to clarify expectations.","I guess I'll just let it go for now, it's not like I was really expecting them to implement my idea anyway. Maybe I'll mention it to them in private next time we talk, but in a meeting like that, it's hard to know what's really going on. I don't want to make a big deal out of it and potentially create tension in the team.",-159.0,-148.0,-168.0,-183.0,-11.0,15.0,2.6,0.9308615796566533,True
